Wrong Format: 
ry 49
rp -90
rr -90
ay 1885
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1280
bs 1000
m1 1000
m2 1000
cm 540810
ry 100
rp -90
rr -90
ay 4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1280
bs 1000
m1 1000
m2 1000
cm 542350
ry 100
rp -90
rr -90
ay 4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1253
bs 1000
m1 1000
m2 1000
cm 543858
ry 100
rp -90
rr -49
ay 4000
ap -3000
ar -1429
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1205
bs 1000
m1 1000
m2 1001
cm 545399
ry 100
rp -90
rr -2
ay 4000
ap -3000
ar 142
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1084
bs 1000
m1 1000
m2 1141
cm 546932
ry 100
rp 23
rr 44
ay 4000
ap 1424
ar 1712
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1274
cm 548455
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 549994
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 551499
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 553047
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1100
m4 1000
bs 1000
m1 1100
m2 1080
cm 554557
ry -100
rp 90
rr 90
ay -4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1100
m4 1000
bs 1000
m1 1100
m2 1080
cm 556096
ry -100
rp 90
rr 90
ay -4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1100
m4 1000
bs 1000
m1 1100
m2 1080
cm 557624
ry -100
rp 90
rr 90
ay -4000
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1280
m4 1000
bs 1000
m1 1000
m2 1000
cm 559132
ry -100
rp -90
rr 90
ay -4000
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -20
r 7
m3 1280
m4 1000
bs 1000
m1 1000
m2 1000
cm 560672
ry -100
rp -90
rr 90
ay -4000
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1280
m4 1000
bs 1000
m1 1000
m2 1000
cm 562180
ry -100
rp -90
rr 90
ay -4000
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1280
m4 1000
bs 1000
m1 1000
m2 1000
cm 563726
ry -100
rp -90
rr 90
ay -4000
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1280
m4 1000
bs 1000
m1 1000
m2 1000
cm 565259
ry -100
rp -90
rr 90
ay -4000
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1280
m4 1000
bs 1000
m1 1000
m2 1000
cm 566793
ry -100
rp -90
rr 90
y_r_kd=%; 0
y_r_ki=%; 0
ay 3634
ap -3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1049
m4 1069
bs 1000
m1 1000
m2 1151
cm 568325
ry 100
rp -18
rr 90
ay 4000
ap 40
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 569820
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
a_c=%; 3000
r_c=%; 100
y_a_c=%; 4000
y_r_c=%; 100
a_m=%; 50
r_m=%; 800
chp 0
chr 0
chy 0
pe=%; 0.40
re=%; 0.40
ye=%; 0.80
tl=%; 1400
th=%; 1700
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 571379
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 572906
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 574433
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1000
car=%; 0.1
ctr=%; 0.9
yar=%; 0.9
g_r=%; 0.3
bs 1000
m1 1000
m2 1280
cm 575955
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar 3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1000
m2 1280
cm 577462
ry 100
rp 90
rr 90
ay 4000
ap 3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1100
bs 1000
m1 1080
m2 1100
cm 579021
ry 100
rp 90
rr -90
ay 4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 775
p -21
r 7
m3 1000
m4 1280
bs 1000
m1 1000
m2 1000
cm 580532
ry -100
rp -90
rr -90
ay -4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1100
m4 1080
bs 1000
m1 1100
m2 1000
cm 582077
ry -100
rp -90
rr -90
ay -4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1100
m4 1080
bs 1000
m1 1100
m2 1000
cm 583596
ry -100
rp -90
rr -90
ay -4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 1
gp 0
gr 0
y 774
p -21
r 7
m3 1100
m4 1080
bs 1000
m1 1100
m2 1000
cm 585123
ry -100
rp -90
rr -90
ay -4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1100
m4 1080
bs 1000
m1 1100
m2 1000
cm 586664
ry -100
rp -90
rr -90
ay -4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1100
m4 1080
bs 1000
m1 1100
m2 1000
cm 588189
ry -100
rp -90
rr -90
ay -4000
ap -3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1054
m4 1034
bs 1000
m1 1166
m2 1000
cm 589730
ry -100
rp -4
rr -90
ay -4000
ap 527
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1280
m2 1000
cm 591247
ry -100
rp 90
rr -90
ay -4000
ap 3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1280
m2 1000
cm 592775
ry -100
rp 90
rr -90
ye=%; 1.50
ay -4000
ap 3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1280
m2 1000
cm 594323
ry -100
rp 90
rr -90
ay -2908
ap 3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1000
m4 1000
bs 1000
m1 1200
m2 1000
cm 595833
ry -4
rp 90
rr -90
ay 346
ap 3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1000
m4 1077
bs 1000
m1 1087
m2 1093
cm 597383
ry 100
rp 90
rr -90
ay 3600
ap 3000
ar -3000
chp 0
chr 0
chy 0
gy 0
gp 0
gr 0
y 774
p -21
r 7
m3 1000
m4 1100
bs 1000
m1 1080
m2 1100
##########yaw_average^prec : 1
y_a_c^cur : 4000
y_a_kp^max : 100.0
y_a_ki^max : 1.00
ch_throttle^cur : 0.9
gyro^cur : 0.3
y_a_kp^prec : 1
y_r_c^cur : 100
a_m^max : 100
y_a_i_c^max : 1000
y_r_kp^cur : 0.035
a_i_c^cur : 500
throttle_max^min : 1600
yaw_average^cur : 0.9
a_c^max : 4000
y_r_kd^cur : 0
ch_angle^cur : 0.1
r_i_c^max : 50
r_kp^min : 0.000
ar_m^cur : 50
a_ki^min : 0.0
roll_effect^prec : 2
y_a_kp^min : 0.0
y_a_kp^cur : 60.0
yaw_average^min : 0.0
y_a_ki^min : 0.00
throttle_max^max : 1800
yaw_average^max : 1.0
r_kp^prec : 3
r_c^max : 100
throttle_min^min : 1400
throttle_max^cur : 1700
r_m^max : 800
r_kp^max : 0.100
ch_throttle^prec : 1
a_kd^cur : 0
y_a_ki^cur : 0.00
ch_throttle^max : 1.0
a_ki^max : 5.0
gyro^prec : 1
gyro^min : 0.0
y_r_kd^max : 0
y_r_kd^min : 0
y_r_kp^prec : 3
ch_angle^prec : 1
r_kd^max : 0
a_kp^cur : 50
throttle_min^cur : 1400
y_r_kp^max : 0.100
y_r_kp^min : 0.000
r_ki^min : 0.00000
y_r_c^max : 100
throttle_min^max : 1600
a_i_c^max : 1000
yaw_effect^min : 0.00
y_a_i_c^cur : 500
roll_effect^cur : 0.40
yaw_effect^max : 2.00
y_a_kd^min : 0
ch_angle^max : 1.0
ch_angle^min : 0.0
a_ki^cur : 0.4
ar_m^max : 150
pitch_effect^max : 1.00
r_ki^max : 0.00005
a_i_c^min : 0
gyro^max : 1.0
a_kp^max : 100
r_c^cur : 100
r_kd^min : 0
ch_throttle^min : 0.0
y_r_kd^prec : 0
y_r_ki^max : 0
r_kd^cur : 0
r_kd^prec : 0
r_ki^prec : 5
y_r_c^prec : 0
y_a_kd^cur : 0
a_kp^min : 0
yaw_effect^prec : 2
r_i_c^cur : 10
pitch_effect^cur : 0.40
y_a_ki^prec : 2
y_r_i_c^cur : 0
r_kp^cur : 0.030
y_a_c^max : 4000
r_m^cur : 800
yaw_effect^cur : 1.50
y_r_ki^cur : 0
pitch_effect^prec : 2
r_ki^cur : 0.00000
y_a_kd^max : 0
y_r_c^min : 0
roll_effect^min : 0.00
a_ki^prec : 1
pitch_effect^min : 0.00
a_c^cur : 3000
a_m^cur : 50
roll_effect^max : 1.00
