Wrong Format: 
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
car=%; 0.1
ctr=%; 0.9
yar=%; 0.9
g_r=%; 0.3
cm 4678407
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4679814
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4681228
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
a_i_c=%; 500
r_i_c=%; 10
y_a_i_c=%; 0
y_r_i_c=%; 0
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4682644
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
a_c=%; 3000
r_c=%; 100
y_a_c=%; 3000
y_r_c=%; 70
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
y_a_kp=%; 68.9
y_a_kd=%; 0
cm 4684071
ry -70
rp 0
rr -3
y_a_ki=%; 0
y_r_kp=%; 0.072
y_r_kd=%; 0
y_r_ki=%; 0
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
a_kp=%; 45
a_kd=%; 0
a_ki=%; 0.4
r_kp=%; 0.035
r_kd=%; 0
r_ki=%; 0.0000
ar_m=%; 50
cm 4685509
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4686929
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
a_i_c=%; 500
r_i_c=%; 10
bs 1330
m1 1366
m2 1294
y_a_i_c=%; 0
y_r_i_c=%; 0
pe=%; 50
re=%; 50
ye=%; 100
tl=%; 1400
th=%; 1700
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4688351
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4689770
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
car=%; 0.1
ctr=%; 0.9
yar=%; 0.9
g_r=%; 0.3
cm 4691193
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4692614
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4694034
ry -70
rp 0
rr -3
y_a_kp=%; 68.9
y_a_kd=%; 0
y_a_ki=%; 0
y_r_kp=%; 0.072
y_r_kd=%; 0
y_r_ki=%; 0
ay -2687
ap 0
ar -90
a_c=%; 3000
r_c=%; 100
y_a_c=%; 3000
y_r_c=%; 70
r_ki=%; 0.0000
ar_m=%; 50
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4695470
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4696873
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4698298
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4699701
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4701108
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4702526
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4703951
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4705362
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4706774
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4708180
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4709597
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4711017
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4712438
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4713863
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4715272
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4716692
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
a_i_c=%; 500
r_i_c=%; 10
gy 0
gp 1
gr 1
y_a_i_c=%; 0
y_r_i_c=%; 0
y 694
p 0
r -2
cm 4718118
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4719520
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4720927
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4722337
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
a_kp=%; 45
a_kd=%; 0
a_ki=%; 0.4
r_kp=%; 0.035
r_kd=%; 0
y 694
p 0
r -2
r_ki=%; 0.0000
ar_m=%; 50
cm 4723753
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4725161
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4726573
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
a_c=%; 3000
r_c=%; 100
y_a_c=%; 3000
chp 0
chr 0
chy 0
y_r_c=%; 70
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 694
p 0
r -2
cm 4727999
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
a_i_c=%; 500
r_i_c=%; 10
y_a_i_c=%; 0
y_r_i_c=%; 0
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4729409
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 694
p 0
r -2
cm 4730816
ry -70
rp 0
rr -3
ay -2687
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 2
y 694
p 0
r -2
cm 4732236
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4733657
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4735064
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4736472
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4737892
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4739311
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4740731
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4742156
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4743567
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
pe=%; 50
bs 1330
m1 1366
m2 1294
re=%; 50
ye=%; 100
tl=%; 1400
th=%; 1700
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4744988
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4746414
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
car=%; 0.1
ctr=%; 0.9
yar=%; 0.9
y 693
p 0
r -2
g_r=%; 0.3
cm 4747826
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4749231
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4750632
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4752039
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4753456
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
car=%; 0.2
y 693
p 0
r -2
cm 4754869
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4756274
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4757692
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4759095
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
car=%; 0.1
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4760503
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4761928
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4763331
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
y_a_kp=%; 68.9
y_a_kd=%; 0
y_a_ki=%; 0
y_r_kp=%; 0.072
y_r_kd=%; 0
y_r_ki=%; 0
bs 1330
m1 1366
m2 1294
a_kp=%; 45
a_kd=%; 0
a_ki=%; 0.4
r_kp=%; 0.035
a_c=%; 3000
r_c=%; 100
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4764758
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4766174
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4767587
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4768994
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4770402
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4771803
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4773208
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4774621
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4776047
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4777456
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4778874
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4780281
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4781682
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4783087
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 2
y 693
p 0
r -2
cm 4784498
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 2
y 693
p 0
r -2
r_kd=%; 0
cm 4785920
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4787338
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4788743
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4790162
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4791574
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
r_ki=%; 0.0000
y 693
p 0
r -2
cm 4792999
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4794418
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
ar_m=%; 50
cm 4795831
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4797238
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4798644
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 1
gr 1
y 693
p 0
r -2
cm 4800056
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4801472
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4802874
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
y 693
p 0
r -2
cm 4804279
ry -70
rp 0
rr -3
ay -2756
ap 0
ar -90
chp 0
chr 0
chy 0
bs 1330
m1 1366
m2 1294
gy 0
gp 0
gr 1
##########yaw_average^prec : 1
y_a_c^cur : 3000
y_a_kp^max : 100.0
y_a_ki^max : 0
ch_throttle^cur : 0.9
gyro^cur : 0.3
y_a_kp^prec : 1
y_r_c^cur : 70
y_r_kp^cur : 0.072
a_i_c^cur : 500
throttle_max^min : 1600
yaw_average^cur : 0.9
a_c^max : 4000
y_r_kd^cur : 0
ch_angle^cur : 0.1
r_i_c^max : 50
r_kp^min : 0.000
ar_m^cur : 50
a_ki^min : 0.0
y_a_kp^min : 0.0
y_a_kp^cur : 68.9
yaw_average^min : 0.0
throttle_max^max : 1800
yaw_average^max : 1.0
r_kp^prec : 3
r_c^max : 100
throttle_min^min : 1400
throttle_max^cur : 1700
r_kp^max : 0.100
ch_throttle^prec : 1
a_kd^cur : 0
y_a_ki^cur : 0
ch_throttle^max : 1.0
a_ki^max : 5.0
gyro^prec : 1
gyro^min : 0.0
y_r_kd^max : 0
y_r_kd^min : 0
y_r_kp^prec : 3
ch_angle^prec : 1
r_kd^max : 0
a_kp^cur : 45
throttle_min^cur : 1400
y_r_kp^max : 0.100
y_r_kp^min : 0.000
r_ki^min : 0.0000
y_r_c^max : 100
throttle_min^max : 1600
a_i_c^max : 1000
y_a_i_c^cur : 0
roll_effect^cur : 50
yaw_effect^max : 100
y_a_kd^min : 0
ch_angle^max : 1.0
ch_angle^min : 0.0
a_ki^cur : 0.4
ar_m^max : 150
pitch_effect^max : 50
r_ki^max : 0.0010
a_i_c^min : 0
gyro^max : 1.0
a_kp^max : 100
r_c^cur : 100
r_kd^min : 0
ch_throttle^min : 0.0
y_r_ki^max : 0
r_kd^cur : 0
r_kd^prec : 0
r_ki^prec : 4
y_r_c^prec : 0
y_a_kd^cur : 0
a_kp^min : 0
r_i_c^cur : 10
pitch_effect^cur : 50
y_r_i_c^cur : 0
r_kp^cur : 0.035
y_a_c^max : 4000
yaw_effect^cur : 100
y_r_ki^cur : 0
r_ki^cur : 0.0000
y_a_kd^max : 0
y_r_c^min : 0
roll_effect^min : 0
a_ki^prec : 1
pitch_effect^min : 0
a_c^cur : 3000
roll_effect^max : 50
